usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
Mariana Protásio,5,positivo,"Um lugar realmente democrático. Atividades para todos. Da criança ao adulto. A biblioteca é realmente impressionante. Tem jogos, computadores, video games, livros para todos os gostos e lugares para descanso, passar o tempo ou simplesmente ver o parque.",lugar realmente democrático atividades todos criança adulto biblioteca realmente impressionante jogos computadores video games livros todos gostos lugares descanso passar tempo simplesmente ver parque,7 anos atrás,2018-10-30 17:06:31.947207,2018,pré-pandemia
Gabriela Moreira,5,positivo,"Prima infraestrutura, funcionários e atendimento excelente, programação muito boa, inclusiva, local aconchegante e leve",prima infraestrutura funcionários atendimento excelente programação boa inclusiva local aconchegante leve,7 anos atrás,2018-10-30 17:06:31.947213,2018,pré-pandemia
Rodrigo Visnauskas,5,positivo,Bom!,bom,7 anos atrás,2018-10-30 17:06:31.947220,2018,pré-pandemia
Mário Piza,5,positivo,Excelente ambiente de estudo. Tudo bem organizado e limpo. Fácil acesso (metrô Carandiru).,excelente ambiente estudo tudo bem organizado limpo fácil acesso metrô carandiru,7 anos atrás,2018-10-30 17:06:31.947226,2018,pré-pandemia
Rafael Teixeira,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947233,2018,pré-pandemia
Henrique Cayoni,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947239,2018,pré-pandemia
Rosecler Tarilho,5,positivo,SEMPRE     AMEI   LIVROS,sempre amei livros,7 anos atrás,2018-10-30 17:06:31.947246,2018,pré-pandemia
Emerson,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947252,2018,pré-pandemia
Lucas Rodrigo Almeida,5,positivo,Lugar incrível para um passeio e para elevar a cultura,lugar incrível passeio elevar cultura,7 anos atrás,2018-10-30 17:06:31.947259,2018,pré-pandemia
Fernando Bispo da Silva Bispoeta,5,positivo,"Além de contar com enorme acervo, a Biblioteca São Paulo conta também com uma ampla divisão de informática voltada também para inclusão de pessoas com deficiência visual. Possui um auditório onde acontecem saraus, contação de histórias e exibição de filmes gratiitos.",além contar enorme acervo biblioteca paulo conta ampla divisão informática voltada inclusão pessoas deficiência visual possui auditório onde acontecem saraus contação histórias exibição filmes gratiitos,7 anos atrás,2018-10-30 17:06:31.947266,2018,pré-pandemia
Agatha Davilla,5,positivo,"Ainda não tive a oportunidade de estar lá, pois moro no Rio de Janeiro... Mas planejando fazer uma visita...😍😍😍",ainda oportunidade lá pois moro rio janeiro planejando fazer visita😍😍😍,7 anos atrás,2018-10-30 17:06:31.947272,2018,pré-pandemia
Luiza Churchill,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947279,2018,pré-pandemia
Rebecca Germano,4,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947285,2018,pré-pandemia
Julio Oliveira,5,positivo,"Local aconchegante, excelente atendimento... boa estrutura e segurança",local aconchegante excelente atendimento boa estrutura segurança,7 anos atrás,2018-10-30 17:06:31.947292,2018,pré-pandemia
Marina,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947299,2018,pré-pandemia
Luana Palmeira,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947305,2018,pré-pandemia
Sandro Consultor,2,negativo,"A infraestrutura e ótima, o ruim e a frequência. Favor reforçar o policiamento.",infraestrutura ótima ruim frequência favor reforçar policiamento,7 anos atrás,2018-10-30 17:06:31.947312,2018,pré-pandemia
Marco Ramos,4,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947318,2018,pré-pandemia
Caroline C.,5,positivo,"Tem ótima localização, e sempre tem uma ronda policial por perto, aumentando a segurança do local.Dentro tem locais de estudo excelentes, oferece computadores para uso, wifi, e tomadas para carregar celulares ou notebooks.A variedade de livros é boa, mas poderia ser melhor.Tem programas com a população em geral, ou seja, programação para contar histórias para crianças pequenas e coisas do gênero.Recomendo pra todos, ainda mais pela possibilidade de aproveitar o parque em conjunto com a biblioteca.",ótima localização sempre ronda policial perto aumentando segurança localdentro locais estudo excelentes oferece computadores uso wifi tomadas carregar celulares notebooksa variedade livros boa poderia melhortem programas população geral programação contar histórias crianças pequenas coisas gênerorecomendo pra todos ainda possibilidade aproveitar parque conjunto biblioteca,7 anos atrás,2018-10-30 17:06:31.947325,2018,pré-pandemia
Planet Babylon,4,positivo,"Durante a semana o lugar é bem tranquilo e vale a pena ser visitado. O cadastro é rápido e sem burocracia. Para quem tem o hábito de ler o acervo é um pouco limitado, mas o ambiente é agradável para a leitura, com mesas individuais, assentos confortáveis e um terraço para quem gosta de estudar ao ar livre. A biblioteca não é colossal, mas tampouco é pequena. O espaço é bem aproveitado e temos a sensação de que a biblioteca é maior do que aparenta. Há tomadas para recarregar notebooks e outros aparelhos eletrônicos. Muita paz e silêncio DURANTE A SEMANA (pelo que li aqui no fim de semana a história é outra), de modo que compensa pelo simples fato de ser um lugar onde é possível relaxar e se concentrar por um bom tempo. Para as crianças há muitos jogos e diversas opções de recreação. Há vários filmes em DVD, que podem ser assistidos nos computadores que são disponibilizados pela biblioteca.",durante semana lugar bem tranquilo vale pena visitado cadastro rápido burocracia hábito ler acervo pouco limitado ambiente agradável leitura mesas individuais assentos confortáveis terraço gosta estudar ar livre biblioteca colossal tampouco pequena espaço bem aproveitado sensação biblioteca maior aparenta tomadas recarregar notebooks outros aparelhos eletrônicos muita paz silêncio durante semana li aqui fim semana história outra modo compensa simples fato lugar onde possível relaxar concentrar bom tempo crianças muitos jogos diversas opções recreação vários filmes dvd podem assistidos computadores disponibilizados biblioteca,Editado 7 anos atrás,2018-10-30 17:06:31.947331,2018,pré-pandemia
Léo Martins,4,positivo,"Local extremamente agradável, com diversas poltronas espalhadas onde pode se deliciar com as diversas literaturas enquanto decide qual irá levar como empréstimo.No piso térreo a área e destinada ao público juvenil e às crianças, há intervenções como ""contação de histórias"", ou mesmo um bate papo com algum escritor.Para os adultos fica destinado o piso superior, onde há possibilidade de utilizar a internet para pesquisas ou assistir vídeos (videoteca), tendo ainda mesas para utilizar o próprio note - Wi-Fi liberado.Seu acervo é bem diversificado, tendo lá até mesmo livros mais técnicos como arquitetura ou mesmo vários estilos de artes (Computação gráfica, História da Arte).O problema qual identifiquei foi com relação a não disponibilidade de todas as séries de uma mesma obra no local para empréstimo.",local extremamente agradável diversas poltronas espalhadas onde pode deliciar diversas literaturas enquanto decide irá levar empréstimono piso térreo área destinada público juvenil crianças intervenções contação histórias bate papo algum escritorpara adultos fica destinado piso superior onde possibilidade utilizar internet pesquisas assistir vídeos videoteca tendo ainda mesas utilizar próprio note wifi liberadoseu acervo bem diversificado tendo lá livros técnicos arquitetura vários estilos artes computação gráfica história arteo problema identifiquei relação disponibilidade todas séries mesma obra local empréstimo,7 anos atrás,2018-10-30 17:06:31.947339,2018,pré-pandemia
Bruna Vasconcelos (Bruh),4,positivo,Um bom acervo de livros. Lançamentos e clássicos. Um ambiente tranquilo e com separação da área infantil e adulta,bom acervo livros lançamentos clássicos ambiente tranquilo separação área infantil adulta,7 anos atrás,2018-10-30 17:06:31.947345,2018,pré-pandemia
Produção Digital,5,positivo,Sou sócio desta biblioteca há mais de 5 anos e convido a todos que são amantes da leitura a visitar e fazer sua inscrição. Um lugar tranquilo que além de livros também possui um espaço com computadores  acessando a internet e uma galeria gigantesca de filmes em DVD. Mil estrelas para essa biblioteca.,sócio desta biblioteca 5 anos convido todos amantes leitura visitar fazer inscrição lugar tranquilo além livros possui espaço computadores acessando internet galeria gigantesca filmes dvd mil estrelas biblioteca,7 anos atrás,2018-10-30 17:06:31.947352,2018,pré-pandemia
Aparecido Filho,5,positivo,"É a maior biblioteca da América Latina! !!Excelentíssima para ler,estudar,comunicar com outras pessoas. ..que biblioteca fantástica! !",maior biblioteca américa latina excelentíssima lerestudarcomunicar outras pessoas biblioteca fantástica,7 anos atrás,2018-10-30 17:06:31.947359,2018,pré-pandemia
Gabriel Pimentel,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947365,2018,pré-pandemia
Leonardo Torres Garcia Ocana,5,positivo,Sem comentário,comentário,7 anos atrás,2018-10-30 17:06:31.947372,2018,pré-pandemia
Guilherme Zanoni,5,positivo,"Um dos melhores lugares da cidade. Excelente espaço, acervo super completo.A única coisa que poderiam melhorar é que o ambiente é barulhento demais, para uma biblioteca(às vezes os próprios funcionários conversam alto demais), o que atrapalha muito para ler e estudar.",melhores lugares cidade excelente espaço acervo super completoa única coisa poderiam melhorar ambiente barulhento demais bibliotecaàs vezes próprios funcionários conversam alto demais atrapalha ler estudar,Editado 7 anos atrás,2018-10-30 17:06:31.947379,2018,pré-pandemia
Tajima Corretor Imóveis,5,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947386,2017,pré-pandemia
Wilhans Henrique,4,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947393,2017,pré-pandemia
Kathleen Maldonado,5,positivo,"Muito bom, muitas variedades de livros",bom muitas variedades livros,8 anos atrás,2017-10-30 17:06:31.947399,2017,pré-pandemia
ויקטור Hugo,5,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947406,2017,pré-pandemia
Welber Almeida,5,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947412,2017,pré-pandemia
Stephen Chase,5,positivo,Best library in São Paulo.,best library in paulo,8 anos atrás,2017-10-30 17:06:31.947419,2017,pré-pandemia
Lugares Top10,5,positivo,Lugar maravilhoso!  De fácil acesso.  Fica ao lado do metrô Carandiru.E a estrutura para leitura e cursos é excelente,lugar maravilhoso fácil acesso fica lado metrô carandirue estrutura leitura cursos excelente,8 anos atrás,2017-10-30 17:06:31.947426,2017,pré-pandemia
Bárbara Cleffs-Fontes,5,positivo,Biblioteca fantástica!,biblioteca fantástica,8 anos atrás,2017-10-30 17:06:31.947432,2017,pré-pandemia
