usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
Amanda Erbert,4,positivo,"A Biblioteca é linda, atualizada e bem anfitriã, acolhe todos que chegam e oferece um nível bem elevado de arte, cultura e educação não só com os seus livros, mas também com a programação de atividades que vai desde para as crianças até idosos, pessoas deficientes e adultos também.",biblioteca linda atualizada bem anfitriã acolhe todos chegam oferece nível bem elevado arte cultura educação livros programação atividades vai desde crianças idosos pessoas deficientes adultos,9 anos atrás,2016-10-30 17:06:31.947750,2016,pré-pandemia
Aisha Gandra,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947757,2016,pré-pandemia
Giovanna Costa,5,positivo,Eu achei muito legal. Os funcionários são atenciosos.,achei legal funcionários atenciosos,9 anos atrás,2016-10-30 17:06:31.947763,2016,pré-pandemia
Tamires Souza,4,positivo,Recomendo a todos!,recomendo todos,9 anos atrás,2016-10-30 17:06:31.947770,2016,pré-pandemia
Sidnei,4,positivo,Necessita de reparos e conservação da área externa do prédio. Visto de perto está muito desgastado.,necessita reparos conservação área externa prédio visto perto desgastado,9 anos atrás,2016-10-30 17:06:31.947777,2016,pré-pandemia
Eduardo Morales,5,positivo,Adoro passar horas estudando ou lendo lá.,adoro passar horas estudando lendo lá,9 anos atrás,2016-10-30 17:06:31.947797,2016,pré-pandemia
Ivan Topal,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947809,2016,pré-pandemia
yara nunes,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947820,2016,pré-pandemia
Lucas Zanelato,5,positivo,Bom,bom,9 anos atrás,2016-10-30 17:06:31.947828,2016,pré-pandemia
Izabel Cristina,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947836,2016,pré-pandemia
Robson de Souza,5,positivo,"Espaço incrível! Bem cuidada, a biblioteca oferece ao usuário além do acervo várias opções culturais.",espaço incrível bem cuidada biblioteca oferece usuário além acervo várias opções culturais,9 anos atrás,2016-10-30 17:06:31.947843,2016,pré-pandemia
Diego Apolinário,4,positivo,"Um lugar muio bacana para ler um livro, usar o computador, ver um filme.. Enfim! A Biblioteca é modelo, muito bem feita, organizada, vale a visita!",lugar muio bacana ler livro usar computador ver filme enfim biblioteca modelo bem feita organizada vale visita,9 anos atrás,2016-10-30 17:06:31.947849,2016,pré-pandemia
Otávio,4,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947857,2016,pré-pandemia
micaelle bagli,1,negativo,Sem comentário,comentário,Editado 9 anos atrás,2016-10-30 17:06:31.947864,2016,pré-pandemia
Lucas Jonathan,5,positivo,Ótimo lugar para estudar...,ótimo lugar estudar,9 anos atrás,2016-10-30 17:06:31.947877,2016,pré-pandemia
Ingrid Oliveira,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947884,2016,pré-pandemia
Roberta Lima Silva,5,positivo,"Limpo, organizado e os funcionários são muito atenciosos e educados.",limpo organizado funcionários atenciosos educados,9 anos atrás,2016-10-30 17:06:31.947891,2016,pré-pandemia
Fabio Fiss,5,positivo,O que há de mais moderno em uma biblioteca. Se você mora em São Paulo e não foi nesta biblioteca ainda vá conhecer e usufrua de seu acervo e locações. Vale muito a pena. É bem próximo do metrô. Bem fácil de chegar!,moderno biblioteca mora paulo nesta biblioteca ainda vá conhecer usufrua acervo locações vale pena bem próximo metrô bem fácil chegar,9 anos atrás,2016-10-30 17:06:31.947897,2016,pré-pandemia
Lawrence de Oliveira,5,positivo,Pq tem tudo pra todo mundo,pq tudo pra todo mundo,9 anos atrás,2016-10-30 17:06:31.947904,2016,pré-pandemia
Wanderley Castorini,5,positivo,Local agradável grande acervo totalmente informatizada ótimo atendimento e tudo de bom.,local agradável grande acervo totalmente informatizada ótimo atendimento tudo bom,9 anos atrás,2016-10-30 17:06:31.947910,2016,pré-pandemia
Victor,4,positivo,Muita diversidade,muita diversidade,9 anos atrás,2016-10-30 17:06:31.947917,2016,pré-pandemia
Flávio da Costa Gonçalves,4,positivo,"É um local muito bonito, com um acervo constantemente atualizado com os principais lançamentos da literatura nacional e estrangeira. Porém, por vezes é um ambiente barulhento - eventos culturais acontecem próximo às áreas de leitura e estudo.",local bonito acervo constantemente atualizado principais lançamentos literatura nacional estrangeira porém vezes ambiente barulhento eventos culturais acontecem próximo áreas leitura estudo,9 anos atrás,2016-10-30 17:06:31.947924,2016,pré-pandemia
Marcos Carvalho da Silva,4,positivo,"Local limpo, organizado e ainda oferece tomadas para carregar celulares e notebooks. Atendimento atencioso.Avaliação:| Limpeza: 9| Atendimento: 10| Custo/Benefício: 10| Localização: 7| Infraestrutura: 8| Acessibilidade: 10(Valores de 0 a 10. Alguns itens podem não ser passíveis de avaliação.)",local limpo organizado ainda oferece tomadas carregar celulares notebooks atendimento atenciosoavaliação limpeza 9 atendimento 10 custobenefício 10 localização 7 infraestrutura 8 acessibilidade 10valores 0 10 alguns itens podem passíveis avaliação,9 anos atrás,2016-10-30 17:06:31.947930,2016,pré-pandemia
Michele Gomes,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947937,2016,pré-pandemia
Gabriela Santana,5,positivo,Sem comentário,comentário,10 anos atrás,2015-10-31 17:06:31.947943,2015,pré-pandemia
José Ricardo,5,positivo,Excelente lugar para estudar.,excelente lugar estudar,10 anos atrás,2015-10-31 17:06:31.947952,2015,pré-pandemia
Henrique Pereira,5,positivo,"Completíssima. Ótimo acervo, espaço aconchegante, pessoal agradável. Sem defeitos xD",completíssima ótimo acervo espaço aconchegante pessoal agradável defeitos xd,10 anos atrás,2015-10-31 17:06:31.947959,2015,pré-pandemia
erick12th,4,positivo,Sem comentário,comentário,10 anos atrás,2015-10-31 17:06:31.947966,2015,pré-pandemia
Bono Vox,3,neutro,muito bom,bom,10 anos atrás,2015-10-31 17:06:31.947973,2015,pré-pandemia
henrique leandro,5,positivo,Eu quero saber como eu jego na bliblioteca de sao paulo quem sober me avisse,quero saber jego bliblioteca sao paulo sober avisse,11 anos atrás,2014-10-31 17:06:31.947980,2014,pré-pandemia
Elisabete Amendoeira,5,positivo,Berço de conhecimento!!!Todos deveriam aprender e frequentar Bibliotecas,berço conhecimentotodos deveriam aprender frequentar bibliotecas,12 anos atrás,2013-10-31 17:06:31.947987,2013,pré-pandemia
Paulo Henrique Campos Gal,5,positivo,"Bonita, agradável, completa, acessível e confortável.",bonita agradável completa acessível confortável,12 anos atrás,2013-10-31 17:06:31.947994,2013,pré-pandemia
Djalma Bina,5,positivo,Free and. amazing space to  knowledge and connect web,free and amazing space to knowledge and connect web,12 anos atrás,2013-10-31 17:06:31.948001,2013,pré-pandemia
